id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,emoji,notes,source,target,edgeLabel,edgeColor,edgeWeight,relationship,extra
"r-cran-rappdirs","r-cran-rappdirs","r-cran-rappdirs","GNU R application directories","","","1","1","","","","Section=gnu-r; Version=0.3.3-1","","","","","",""
"r-cran-shiny","r-cran-shiny","r-cran-shiny","GNU R web application framework","","","1","1","","","","Section=gnu-r; Version=1.10.0+dfsg-2","","","","","",""
"r-cran-thematic","r-cran-thematic","r-cran-thematic","unified and automatic theming for GNU R","","","1","1","","","","Section=gnu-r; Version=0.1.6-1","","","","","",""
"libgcc-s1","libgcc-s1","libgcc-s1","GCC support library","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"r-base-core","r-base-core","r-base-core","GNU R core of statistical computation and graphics system","","","1","1","","","","Section=gnu-r; Version=4.5.0-3","","","","","",""
"r-cran-xml","r-cran-xml","r-cran-xml","GNU R package for XML parsing and generation","","","1","1","","","","Section=gnu-r; Version=3.99-0.18-1","","","","","",""
"libjpeg62-turbo","libjpeg62-turbo","libjpeg62-turbo","libjpeg-turbo JPEG runtime library","","","1","1","","","","Section=libs; Version=1:2.1.5-4","","","","","",""
"r-graphics-engine-16","r-graphics-engine-16","r-graphics-engine-16","unknown","","","1","1","","","","missing in Packages file","","","","","",""
"r-cran-rcpp","r-cran-rcpp","r-cran-rcpp","GNU R package for Seamless R and C++ Integration","","","1","1","","","","Section=gnu-r; Version=1.0.14-1","","","","","",""
"libmagick++-7.q16-5","libmagick++-7.q16-5","libmagick++-7.q16-5","C++ interface to ImageMagick -- quantum depth Q16","","","1","1","","","","Section=libs; Version=8:7.1.1.43+dfsg1-1+deb13u1","","","","","",""
"libmagickcore-7.q16-10","libmagickcore-7.q16-10","libmagickcore-7.q16-10","low-level image manipulation library -- quantum depth Q16","","","1","1","","","","Section=libs; Version=8:7.1.1.43+dfsg1-1+deb13u1","","","","","",""
"libmagickwand-7.q16-10","libmagickwand-7.q16-10","libmagickwand-7.q16-10","image manipulation library -- quantum depth Q16","","","1","1","","","","Section=libs; Version=8:7.1.1.43+dfsg1-1+deb13u1","","","","","",""
"libstdc++6","libstdc++6","libstdc++6","GNU Standard C++ Library v3","","","1","1","","","","Section=libs; Version=14.2.0-19","","","","","",""
"r-cran-av","r-cran-av","r-cran-av","working with Audio and Video in GNU R","","","1","1","","","","Section=gnu-r; Version=0.9.0+dfsg-1+b1","","","","","",""
"r-cran-spelling","r-cran-spelling","r-cran-spelling","tools for spell checking in GNU R","","","1","1","","","","Section=gnu-r; Version=2.3.1-1","","","","","",""
"r-cran-rsvg","r-cran-rsvg","r-cran-rsvg","GNU R render SVG images into PDF, PNG, PostScript, or bitmap arrays","","","1","1","","","","Section=gnu-r; Version=2.6.1-1","","","","","",""
"r-cran-pdftools","r-cran-pdftools","r-cran-pdftools","GNU R text extraction, rendering and converting of PDF documents","","","1","1","","","","Section=gnu-r; Version=3.5.0-1","","","","","",""
