id,name,label,description,color,fillColor,weight,rawWeight,lat,lng,start,end,time,date,source,target,edgeLabel,edgeColor,edgeWeight,relationship,enlightement,emoji,extra
module:imports/client/ui/components/network/graphAdapters/sigmaAdapter.js,imports/client/ui/components/network/graphAdapters/sigmaAdapter.js,imports/client/ui/components/network/graphAdapters/sigmaAdapter.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/graphAdapters/sigmaAdapter.js"",""label"":""imports/client/ui/components/network/graphAdapters/sigmaAdapter.js"",""type"":""module"",""exports"":[],""functionCount"":4,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/reagraph/ReagraphAdapter.js,imports/client/ui/components/network/reagraph/ReagraphAdapter.js,imports/client/ui/components/network/reagraph/ReagraphAdapter.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/reagraph/ReagraphAdapter.js"",""label"":""imports/client/ui/components/network/reagraph/ReagraphAdapter.js"",""type"":""module"",""exports"":[],""functionCount"":19,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/reagraph/RealReagraphAdapter.js,imports/client/ui/components/network/reagraph/RealReagraphAdapter.js,imports/client/ui/components/network/reagraph/RealReagraphAdapter.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/reagraph/RealReagraphAdapter.js"",""label"":""imports/client/ui/components/network/reagraph/RealReagraphAdapter.js"",""type"":""module"",""exports"":[],""functionCount"":37,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/sigma/SigmaAdapter.js,imports/client/ui/components/network/sigma/SigmaAdapter.js,imports/client/ui/components/network/sigma/SigmaAdapter.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/sigma/SigmaAdapter.js"",""label"":""imports/client/ui/components/network/sigma/SigmaAdapter.js"",""type"":""module"",""exports"":[""SigmaAdapter""],""functionCount"":30,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/network/utils/cyElementsToGraphology.js,imports/client/ui/components/network/utils/cyElementsToGraphology.js,imports/client/ui/components/network/utils/cyElementsToGraphology.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/network/utils/cyElementsToGraphology.js"",""label"":""imports/client/ui/components/network/utils/cyElementsToGraphology.js"",""type"":""module"",""exports"":[""cyElementsToGraphology""],""functionCount"":2,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/timeLine/TimeLine.jsx,imports/client/ui/components/timeLine/TimeLine.jsx,imports/client/ui/components/timeLine/TimeLine.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/timeLine/TimeLine.jsx"",""label"":""imports/client/ui/components/timeLine/TimeLine.jsx"",""type"":""module"",""exports"":[],""functionCount"":1,""hasDefaultExport"":true,""errors"":[]}"
module:imports/client/ui/components/timeLine/TimeSlider.jsx,imports/client/ui/components/timeLine/TimeSlider.jsx,imports/client/ui/components/timeLine/TimeSlider.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/client/ui/components/timeLine/TimeSlider.jsx"",""label"":""imports/client/ui/components/timeLine/TimeSlider.jsx"",""type"":""module"",""exports"":[""TimeSlider""],""functionCount"":4,""hasDefaultExport"":true,""errors"":[]}"
module:imports/server/jobs/csvImportJob.js,imports/server/jobs/csvImportJob.js,imports/server/jobs/csvImportJob.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/server/jobs/csvImportJob.js"",""label"":""imports/server/jobs/csvImportJob.js"",""type"":""module"",""exports"":[],""functionCount"":3,""hasDefaultExport"":false,""errors"":[]}"
module:imports/startup/client/muiCompat.jsx,imports/startup/client/muiCompat.jsx,imports/startup/client/muiCompat.jsx,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/startup/client/muiCompat.jsx"",""label"":""imports/startup/client/muiCompat.jsx"",""type"":""module"",""exports"":[],""functionCount"":23,""hasDefaultExport"":false,""errors"":[]}"
module:imports/startup/server/accounts.js,imports/startup/server/accounts.js,imports/startup/server/accounts.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/startup/server/accounts.js"",""label"":""imports/startup/server/accounts.js"",""type"":""module"",""exports"":[],""functionCount"":0,""hasDefaultExport"":false,""errors"":[]}"
module:imports/startup/server/exportsCleanup.js,imports/startup/server/exportsCleanup.js,imports/startup/server/exportsCleanup.js,module,#1f77b4,,,,,,,,,,,,,,,,module,,"{""id"":""module:imports/startup/server/exportsCleanup.js"",""label"":""imports/startup/server/exportsCleanup.js"",""type"":""module"",""exports"":[""runCleanupOnce""],""functionCount"":2,""hasDefaultExport"":false,""errors"":[]}"
