source_package,count
r-cran-r6,48
scowl,48
haskell-http-types,47
kf6-kcontacts,47
khelpcenter,47
libghc-stm-dev-2.5.1.0-99e80,47
libguestfs,47
libical3,47
libmro-compat-perl,47
librust-num-traits-0.2+default-dev,47
linux,47
node-react,47
python-async-timeout,47
python-tenacity,47
python3-cffi-backend-api-max,47
python3-cffi-backend-api-min,47
ros-ros,47
tinyxml,47
vulkan-loader,47
budgie-desktop,46
gcr,46
golang-check.v1,46
golang-google-grpc,46
gsettings-qt,46
htslib,46
konqueror,46
libcap-ng,46
libclass-load-perl,46
libdist-zilla-perl,46
libghc-stm-prof-2.5.1.0-99e80,46
libinput,46
librust-clap-4+derive-dev,46
librust-tokio-1+io-util-dev,46
libxmlada,46
mumps,46
mvtnorm,46
paramiko,46
prettytable,46
qtlocation-opensource-src,46
r-cran-htmltools,46
ros-std-msgs,46
ros2-ament-cmake,46
speex,46
x-terminal-emulator,46
xfconf,46
bioperl,45
geany,45
inetutils,45
kf6-kbookmarks,45
libcatmandu-perl,45
libextractor,45
libghc-utf8-string-dev-1.0.2-2ec81,45
libghc-utf8-string-prof-1.0.2-2ec81,45
librust-clap-4+default-dev,45
libspdlog1.15-fmt10,45
libuv1,45
lme4,45
petsc4py,45
python-debian,45
python-xstatic,45
r-bioc-genomicranges,45
r-cran-igraph,45
r-cran-shiny,45
xterm,45
abseil,44
apr-util,44
atinject-jsr330,44
cdrkit,44
eigen3,44
ipython,44
jekyll,44
kodi-api-pvr,44
libayatana-appindicator,44
libghc-resourcet-dev-1.3.0-2d998,44
libghc-resourcet-prof-1.3.0-2d998,44
liblo,44
libparams-util-perl,44
librust-futures-0.3+default-dev,44
librust-serde-derive-1+default-dev,44
librust-tracing-0.1+default-dev,44
pidgin,44
tempest,44
twisted,44
xfce4-panel,44
build-essential,43
doc-base,43
gtksourceview4,43
httpx,43
kamailio,43
kf6-kitemviews,43
kf6-solid,43
kmime,43
kwindowsystem,43
libghc-quickcheck-dev-2.14.3-955ee,43
libghc-quickcheck-prof-2.14.3-955ee,43
liblog-log4perl-perl,43
librust-parking-lot-0.12+default-dev,43
librust-serde-1+alloc-dev,43
librust-tokio-1+rt-dev,43
lynx,43
